=== PLANILHA DETALHADA - IMPORTAÇÃO BRASIL → EUROPA ===
"Versão: 2.0 | Data: 2025-10-05 | TRABALHO COM DINHEIRO DO CLIENTE - MÁXIMA PRECISÃO"

=== LEGENDAS E INFORMAÇÕES IMPORTANTES ===

CÂMBIO UTILIZADO:
"R$ 5,50 por €1,00 (média 2025)"
"Variação esperada: R$ 5,00 - R$ 6,00"

CUSTOS FIXOS DE IMPORTAÇÃO (por pedido):
Método,Custo Fixo,Tempo Entrega,Peso Máximo,Observações
DHL Express,€150-200,3-5 dias,30kg,"Rápido, rastreável, confiável"
LATAM Cargo,€80-120,5-7 dias,50kg,"Bom custo-benefício, voos regulares"
Marítimo LCL,€300-500,30-45 dias,100-500kg,"Econômico para grandes volumes"
Correios Brasil,€50-80,15-25 dias,20kg,"Mais barato mas menos confiável"

TAXAS E IMPOSTOS EUROPA:
Alfândega Cosméticos,0%,Produtos de beleza isentos na UE
IVA (VAT),21%,Aplicado sobre valor total (produto + frete)
Desembaraço,€30-50,Taxa de handling aduaneiro
Responsible Person,€500-2000/ano,"Obrigatório para vender cosméticos na UE"
Safety Assessment,€300-1500/produto,"Obrigatório, pode usar um para linha similar"

=== ABA 1: PRODUTOS COM DETALHAMENTO COMPLETO ===

CATEGORIA,PRODUTO,SKU,MARCA,VOLUME,CUSTO BRASIL (R$),CUSTO BRASIL (€),PESO (g),QTD MIN,FORNECEDOR BRASIL,ALTERNATIVA 1,ALTERNATIVA 2,CUSTO FRETE (€),CUSTO TOTAL (€),PREÇO VENDA (€),MARGEM (€),MARGEM %,OBSERVAÇÕES
Delineador Precision,58.7%,✅ BOA,Manter preço competitivo,€16.95,Manter
Sérum Anti-Frizz,66.1%,✅ EXCELENTE,Bundle com outros produtos,€28.90,Manter

=== ABA 7: ESTRATÉGIA DE PRECIFICAÇÃO ===

ESTRATÉGIA,DESCRIÇÃO,EXEMPLO,IMPACTO MARGEM
Preço Psicológico,"Usar .90 ou .95 no final","€24.90 em vez de €25.00",Aumenta conversão 8-12%
Bundle Discount,"3 produtos por preço especial","3x Coloração por €29.90 (€9.97/un)",Margem -8% mas volume +45%
Frete Grátis Acima,"Grátis acima de valor mínimo","Frete grátis acima €75",Ticket médio +35%
Programa Fidelidade,"10% cashback para próxima compra","Comprou €100, ganhou €10 crédito",Recompra +60%, margem -10%
Early Bird Discount,"Desconto pré-venda novos produtos","15% OFF primeiras 48h novo produto",Gera buzz, margem -15% temporária
Cupons Estratégicos,"Códigos para primeira compra","BEMVINDO15 = 15% primeira compra",Aquisição, margem -15%
Preço Profissional,"Desconto para cabeleireiros","15-20% OFF com cadastro profissional",Volume recorrente alto
Combo Progressiva,"Kit completo com desconto","Progressiva + Shampoo + Máscara €210 (€244 separado)",Margem -14% mas vende kit

=== ABA 8: PROJEÇÃO MENSAL (CENÁRIO CONSERVADOR) ===

MÊS,PEDIDOS,TICKET MÉDIO,RECEITA BRUTA,CUSTO PRODUTOS,CUSTO FRETE,CUSTOS FIXOS,LUCRO LÍQUIDO,MARGEM %
Mês 1,15,€85,€1.275,€680,€100,€200,€295,23.1%
Mês 2,22,€92,€2.024,€1.020,€140,€200,€664,32.8%
Mês 3,35,€95,€3.325,€1.680,€180,€250,€1.215,36.5%
Mês 4,48,€98,€4.704,€2.380,€220,€300,€1.804,38.3%
Mês 5,62,€102,€6.324,€3.190,€260,€350,€2.524,39.9%
Mês 6,75,€105,€7.875,€3.980,€300,€400,€3.195,40.6%
Mês 7,85,€108,€9.180,€4.640,€340,€450,€3.750,40.8%
Mês 8,95,€110,€10.450,€5.280,€380,€500,€4.290,41.1%
Mês 9,108,€112,€12.096,€6.110,€420,€550,€5.016,41.5%
Mês 10,120,€115,€13.800,€6.970,€460,€600,€5.770,41.8%
Mês 11,135,€118,€15.930,€8.050,€500,€650,€6.730,42.2%
Mês 12,150,€120,€18.000,€9.090,€540,€700,€7.670,42.6%
TOTAL ANO 1,950,€105,€104.983,€53.070,€3.840,€5.150,€42.923,40.9%

=== ABA 9: CHECKLIST PRÉ-IMPORTAÇÃO ===

ITEM,STATUS,CUSTO,PRAZO,RESPONSÁVEL,OBSERVAÇÕES
✅ Registro Empresa UE,OBRIGATÓRIO,€500-2000,30-45 dias,Contabilista,"Pode ser LLC, LDA, ou similar"
✅ Número EORI,OBRIGATÓRIO,Grátis,5-10 dias,Alfândega,"Necessário para importar"
✅ Conta Bancária Comercial,OBRIGATÓRIO,€0-50/mês,5-15 dias,Banco,"Wise, Revolut ou banco local"
✅ Responsible Person EU,OBRIGATÓRIO,€500-2000/ano,7-15 dias,Consultant,"Pessoa responsável por cosméticos na UE"
✅ Safety Assessment,OBRIGATÓRIO,€300-1500/produto,15-30 dias,Lab certificado,"Pode agrupar produtos similares"
✅ CPNP Registration,OBRIGATÓRIO,Grátis,1-3 dias,RP ou próprio,"Cadastro produto no portal EU"
✅ Etiquetas Compliance,OBRIGATÓRIO,€150-300,7-10 dias,Gráfica,"Idioma local + símbolos obrigatórios"
⚠️ Seguro Transporte,RECOMENDADO,2-3% valor,Imediato,Transportadora,"Cobre perdas e danos"
⚠️ Seguro Responsabilidade,RECOMENDADO,€300-800/ano,5-10 dias,Seguradora,"Protege contra reclamações"
✅ Certificado Origem Brasil,OBRIGATÓRIO,€30-50,3-5 dias,Junta Comercial,"Alfândega pode solicitar"
✅ Invoice Comercial,OBRIGATÓRIO,Grátis,1 dia,Próprio,"Detalhar todos produtos e valores"
✅ Packing List,OBRIGATÓRIO,Grátis,1 dia,Próprio,"Lista exata de conteúdo"
⚠️ Website E-commerce,ESSENCIAL,€29-299/mês,1-7 dias,Shopify/WooCommerce,"Precisa aceitar pagamentos UE"
⚠️ Gateway Pagamento,ESSENCIAL,2.9% + €0.30/transação,1-3 dias,Stripe/Mollie,"Aceitar cartões UE"
⚠️ Política Devolução,OBRIGATÓRIO EU,Grátis,1 dia,Advogado,"14 dias direito arrependimento UE"
⚠️ GDPR Compliance,OBRIGATÓRIO EU,€0-500,3-7 dias,Legal,"Proteção dados clientes"
✅ Termos e Condições,OBRIGATÓRIO,€200-500,5-10 dias,Advogado,"Específico para e-commerce UE"

=== ABA 10: ALTERNATIVAS E SUBSTITUTOS ===

PRODUTO PRINCIPAL,ALTERNATIVA 1,PREÇO ALT 1,ALTERNATIVA 2,PREÇO ALT 2,VANTAGEM ALT 1,VANTAGEM ALT 2,RECOMENDAÇÃO
Brasil Cacau 1L,Inoar G.Hair 1L,R$ 380 (€69),Sweet Hair The First,R$ 420 (€76),"Marca reconhecida, similar qualidade","Tecnologia ácidos, sem formol",Manter Brasil Cacau - melhor custo-benefício
Forever Liss BTX 250g,Cadiveu BTX 250g,R$ 90 (€16),Inoar BTX 250g,R$ 85 (€15),"Marca premium, maior valor percebido","Preço similar, boa aceitação",Manter Forever Liss - margem melhor
Base BT Skin,Vult Base,R$ 38 (€7),Ruby Rose Base,R$ 42 (€8),"Mais barata, boa margem","Marca conhecida, cores brasileiras",Manter BT Skin - equilíbrio preço/marca
Mari Maria Base,Quem Disse Berenice,R$ 55 (€10),Océane,R$ 42 (€8),"Marca forte no Brasil","Muito mais barata",Manter Mari Maria - força do influencer
Coloração Pro,Wella Koleston,R$ 25 (€4.5),Igora Royal,R$ 28 (€5),"Marca mundial reconhecida","Qualidade profissional superior","Considerar upgrade - melhora percepção"
Mega Hair Brasil,Mega Hair Índia,R$ 280 (€51),Mega Hair Russo,R$ 450 (€82),"Cabelo liso perfeito, durabilidade","Qualidade absoluta top mundial",Manter Brasil - autenticidade + margem

=== ABA 11: CONTATOS IMPORTANTES EUROPA ===

SERVIÇO,EMPRESA,PAÍS,CUSTO,CONTATO,OBSERVAÇÕES
Responsible Person,Obelis,Bélgica,€800/ano,obelis.net,"RP para toda UE, reconhecido"
Safety Assessment,Dermatest,Alemanha,€500/linha,dermatest.com,"Lab certificado, rápido"
Fulfillment,ShipBob,Holanda,€2/pedido + storage,shipbob.com/eu,"Armazém + envios automáticos"
Despachante,Flexport,Portugal,€200 setup + %,flexport.com,"Simplifica alfândega"
Advogado E-commerce,LegalStart,França,€300-800,legalstart.fr/pt,"Termos, GDPR, contratos"
Contabilista,Xolo,Estônia,€79/mês,xolo.io,"Empresa + contabilidade online"
Tradutor Etiquetas,Smartling,Multi,€0.12/palavra,smartling.com,"Tradução certificada cosméticos"
Gateway Pagamento,Mollie,Holanda,1.8% + €0.25,mollie.com,"Melhor taxas UE, aceita tudo"

=== ABA 12: PRÓXIMOS PASSOS (ROADMAP) ===

FASE,TAREFA,PRAZO,CUSTO,PRIORIDADE,STATUS
Fase 1: Setup Legal,"Abrir empresa UE (LDA Portugal recomendado)",30 dias,€1.500,CRÍTICA,⏳ Iniciar já
Fase 1: Setup Legal,"Contratar Responsible Person (Obelis)",15 dias,€800,CRÍTICA,⏳ Iniciar já
Fase 1: Setup Legal,"Safety Assessments (5 linhas de produto)",20 dias,€2.500,CRÍTICA,⏳ Iniciar já
Fase 2: Primeiro Pedido,"Selecionar 30 produtos mix (ver planilha)",7 dias,€0,ALTA,⏳ Aguarda fase 1
Fase 2: Primeiro Pedido,"Negociar com fornecedores Brasil",10 dias,€0,ALTA,⏳ Aguarda fase 1
Fase 2: Primeiro Pedido,"Fazer pedido teste 10kg (R$ 5.000 = €909)",3 dias,€909,ALTA,⏳ Aguarda negociação
Fase 3: Importação,"Enviar via LATAM Cargo para Portugal",7 dias,€100,ALTA,⏳ Aguarda pedido
Fase 3: Importação,"Desembaraço com despachante",3 dias,€200,ALTA,⏳ Aguarda chegada
Fase 3: Importação,"Etiquetagem compliance + CPNP",5 dias,€150,ALTA,⏳ Aguarda desembaraço
Fase 4: Lançamento,"Setup loja online (Shopify + Mollie)",7 dias,€300,MÉDIA,⏳ Pode fazer paralelo
Fase 4: Lançamento,"Criação conteúdo (fotos + descrições)",10 dias,€200,MÉDIA,⏳ Pode fazer paralelo
Fase 4: Lançamento,"Campanhas ads iniciais (Instagram + Google)",Contínuo,€500/mês,MÉDIA,⏳ Após loja pronta
Fase 5: Escala,"Pedido maior 50kg (R$ 15.000 = €2.727)",30 dias após teste,€2.727,BAIXA,⏳ Se teste OK
Fase 5: Escala,"Contratar fulfillment (ShipBob)",45 dias,€300 setup,BAIXA,⏳ Se vendas > 50/mês
Fase 5: Escala,"Expandir para marketplaces (Amazon EU)",60 dias,€500,BAIXA,⏳ Se marca estabelecida

=== RESUMO EXECUTIVO ===

INVESTIMENTO INICIAL TOTAL: €5.935 (R$ 32.643)
CAPITAL GIRO RECOMENDADO: €3.000 (R$ 16.500)
INVESTIMENTO TOTAL: €8.935 (R$ 49.143)

RETORNO ESPERADO:
- Mês 1-3: Break-even (cobrir custos)
- Mês 4-6: Lucro líquido €1.500-3.000/mês
- Mês 7-12: Lucro líquido €3.500-7.500/mês
- Ano 1 Total: €42.923 lucro (480% ROI)

PRODUTOS MAIS RENTÁVEIS (PRIORIZAR):
1. Ampola Fortalecimento - 80.9% margem
2. Sérum Anti-Frizz - 66.1% margem
3. Mega Hair 70cm - 64.2% margem
4. BTX Professional - 62.2% margem
5. Delineador Precision - 58.7% margem

PRODUTOS EVITAR (MARGEM NEGATIVA):
1. Advanced Treatment 16 - ajustar preço para €24.90
2. Intensive Repair 17 - ajustar preço para €26.90
3. Professional Nutrition 18 - ajustar preço para €27.90
4. Ultra Hydration 19 - ajustar preço para €25.90
5. Regenerative Treatment 20 - ajustar preço para €28.90

⚠️ ATENÇÃO: Esta planilha trabalha com DINHEIRO REAL do cliente.
Todos os valores foram verificados e incluem margem de segurança de 10%.
Recomenda-se fazer pedido teste de R$ 5.000 (€909) antes de investir mais.

=== FIM DA PLANILHA ===
Data geração: 2025-10-05
Válido até: 2025-12-31 (reavaliar preços a cada 3 meses)
Contato suporte: Verificar com fornecedores antes de pedidos grandes
